TrialNumber;word;color;ran;order;is congruent;Stim timestamp;key pressed;key timestamp;delta T;is correct
127;green;yellow;1.0;126.0;0.0;242.05722;y;242.7416;0.6843662;1.0
128;green;blue;1.0;127.0;0.0;243.76456;b;246.23854;2.4739945;1.0
129;blue;blue;1.0;128.0;1.0;247.25911;b;248.02266;0.7635549;1.0
130;green;red;1.0;129.0;0.0;249.04634;r;249.55031;0.5039695;1.0
131;yellow;blue;1.0;130.0;0.0;250.58025;b;251.24619;0.6659449;1.0
132;green;green;1.0;131.0;1.0;252.27419;g;252.92697;0.6527908;1.0
133;yellow;red;1.0;132.0;0.0;253.95476;r;254.57385;0.6190932;1.0
134;yellow;yellow;1.0;133.0;1.0;255.5952;y;256.26184;0.6666424;1.0
135;red;green;1.0;134.0;0.0;257.28928;g;257.90985;0.6205951;1.0
136;red;yellow;1.0;135.0;0.0;258.92984;y;259.73413;0.8042796;1.0
137;red;blue;1.0;136.0;0.0;260.7572;b;262.02185;1.2646484;1.0
138;red;red;1.0;137.0;1.0;263.0513;r;263.71;0.6586791;1.0
139;blue;yellow;1.0;138.0;0.0;264.73175;y;270.20578;5.4740286;1.0
140;yellow;green;1.0;139.0;0.0;271.22748;g;272.1981;0.9705892;1.0
141;blue;green;1.0;140.0;0.0;273.22824;g;274.10995;0.8817224;1.0
142;green;yellow;1.0;141.0;0.0;275.1354;y;275.79773;0.6623341;1.0
143;blue;red;1.0;142.0;0.0;276.8294;r;277.66177;0.8323668;1.0
144;green;blue;1.0;143.0;0.0;278.68335;b;281.3265;2.6431537;1.0
145;blue;red;1.0;144.0;0.0;282.3513;r;283.03784;0.6865651;1.0
146;blue;blue;1.0;145.0;1.0;284.05853;b;285.3739;1.3153666;1.0
147;red;yellow;1.0;146.0;0.0;286.40598;y;287.02975;0.6237749;1.0
148;green;red;1.0;147.0;0.0;288.0599;r;289.2304;1.1705037;1.0
149;yellow;red;1.0;148.0;0.0;290.26074;r;290.8298;0.5690594;1.0
150;red;blue;1.0;149.0;0.0;291.86133;b;292.65375;0.7924072;1.0
151;yellow;green;1.0;150.0;0.0;293.6752;g;294.30972;0.6345095;1.0
152;green;blue;1.0;151.0;0.0;295.32922;b;296.02972;0.7005157;1.0
153;yellow;yellow;1.0;152.0;1.0;297.0498;y;297.71777;0.6679782;1.0
154;green;green;1.0;153.0;1.0;298.7437;g;299.31766;0.5739257;1.0
155;blue;yellow;1.0;154.0;0.0;300.34433;y;301.1497;0.8053617;1.0
156;green;yellow;1.0;155.0;0.0;302.1716;y;302.76642;0.5947895;1.0
157;yellow;blue;1.0;156.0;0.0;303.79874;b;304.47806;0.6793141;1.0
158;red;green;1.0;157.0;0.0;305.50607;g;306.27832;0.7722447;1.0
159;red;red;1.0;158.0;1.0;307.3067;r;308.30975;1.0030587;1.0
160;blue;green;1.0;159.0;0.0;309.33408;g;310.07816;0.7440796;1.0
